Name,No. of Reviews,Area,Est. Price ($),Categories,URL
273 Tanjong Katong Coffee Shop,2,Katong,,"Local Delights, Cafes & Coffee, Hawker Food",https://www.burpple.com/coffee-shop-273-tanjong-katong-road?bp_ref=%2Fsearch%2Fsg
Zamas (Tanjong Katong),2,Katong,5,"Indian, Supper, Hawker Food",https://www.burpple.com/zamas-tanjong-katong?bp_ref=%2Fsearch%2Fsg
Pastaria Abate (Katong),0,Marine Parade,20,"Pizza, Pasta, Italian, Cheap & Good",https://www.burpple.com/pastaria-abate-1?bp_ref=%2Fsearch%2Fsg
Bergs Gourmet Burgers (Katong),15,Marine Parade,20,"Burgers, Western",https://www.burpple.com/bergs-gourmet-burgers-3?bp_ref=%2Fsearch%2Fsg
Mongkok Dim Sum (Katong),9,Marine Parade,15,"Dim Sum, Good For Groups, Supper, Chinese",https://www.burpple.com/mongkok-kitchen?bp_ref=%2Fsearch%2Fsg
Tomi Sushi (Katong V),27,Marine Parade,40,"Sushi, Good For Groups, Japanese",https://www.burpple.com/tomi-sushi-katong-v?bp_ref=%2Fsearch%2Fsg
East Manhattan (Katong V),8,Marine Parade,15,"Breakfast & Brunch, Cafes & Coffee, Cakes, Desserts",https://www.burpple.com/east-manhattan?bp_ref=%2Fsearch%2Fsg
BreadTalk (I12 Katong),3,Marine Parade,,"Bread, Cakes",https://www.burpple.com/breadtalk-9?bp_ref=%2Fsearch%2Fsg
Island Creamery (Katong),5,Marine Parade,5,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/island-creamery-14?bp_ref=%2Fsearch%2Fsg
Toast Box (I12 Katong),16,Marine Parade,10,"Local Delights, Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/toast-box-33?bp_ref=%2Fsearch%2Fsg
Delhi 6 (Katong V),5,Marine Parade,,Indian,https://www.burpple.com/delhi-6?bp_ref=%2Fsearch%2Fsg
The Tipsy Cow (Katong),2,Katong,30,"Pizza, Pasta, Italian, Bars",https://www.burpple.com/the-tipsy-cow-katong?bp_ref=%2Fsearch%2Fsg
Astons Specialities (Katong),38,Marine Parade,15,Western,https://www.burpple.com/astons-specialties-1?bp_ref=%2Fsearch%2Fsg
Canton Paradise (I12 Katong),120,Marine Parade,25,"Good For Groups, Chinese",https://www.burpple.com/canton-paradise-7?bp_ref=%2Fsearch%2Fsg
Maki-San (I12 Katong),18,Marine Parade,10,"Sushi, Japanese, Salads, Healthy, Halal",https://www.burpple.com/makisan-i12-katong?bp_ref=%2Fsearch%2Fsg
Suki-Ya (I12 Katong),12,Marine Parade,25,"Buffets, Steamboat, Good For Groups, Japanese",https://www.burpple.com/sukiya?bp_ref=%2Fsearch%2Fsg
Stärker Bistro (Katong Square),13,Marine Parade,35,"Bars, Late Night, Western",https://www.burpple.com/starker-bistro?bp_ref=%2Fsearch%2Fsg
Rive Gauche Patisserie (I12 Katong),1,Marine Parade,10,"Cakes, Desserts",https://www.burpple.com/rive-gauche-patisserie-i12-katong?bp_ref=%2Fsearch%2Fsg
The Soup Spoon (l12 Katong),6,Marine Parade,10,"Soup, Sandwiches, Salads, Healthy",https://www.burpple.com/the-soup-spoon-12?bp_ref=%2Fsearch%2Fsg
Tim Ho Wan (I12 Katong),19,Marine Parade,20,"Dim Sum, Chinese",https://www.burpple.com/tim-ho-wan-i12-katong?bp_ref=%2Fsearch%2Fsg
FatPapas Burgers And Shakes (Katong),3,Marine Parade,20,"Burgers, Western, Halal",https://www.burpple.com/fatpapas-katong?bp_ref=%2Fsearch%2Fsg
Wine Connection Bistro (I12 Katong),13,Marine Parade,30,"Dinner with Drinks, European, Late Night, Date Night",https://www.burpple.com/wine-connection-bistro?bp_ref=%2Fsearch%2Fsg
Mookata Traditional Thai BBQ (Katong),35,Marine Parade,25,"Thai, Steamboat, Mookata, Supper, Good For Groups, BBQ",https://www.burpple.com/mookata-thai-charcoal-steamboat?bp_ref=%2Fsearch%2Fsg
Heavenly Wang (Red House @ Katong),4,Marine Parade,10,"Local Delights, Bread, Cafes & Coffee, Halal",https://www.burpple.com/heavenly-wang-katong?bp_ref=%2Fsearch%2Fsg
Ponggol Nasi Lemak (Tanjong Katong),42,Katong,5,"Malay, Cheap & Good, Hawker Food, Supper, Nasi Lemak",https://www.burpple.com/ponggol-nasi-lemak-centre-1?bp_ref=%2Fsearch%2Fsg
Nan Xiang Chicken Rice (Katong),22,Katong,5,"Chicken Rice, Cheap & Good, Hawker Food",https://www.burpple.com/nan-xiang-chicken-rice?bp_ref=%2Fsearch%2Fsg
Artisan Boulangerie Co. (I12 Katong),18,Marine Parade,20,"Bread, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/artisan-boulangerie-company?bp_ref=%2Fsearch%2Fsg
QQ Noodle House (Tanjong Katong),1,Katong,10,"Local Delights, Hawker Food",https://www.burpple.com/qq-noodle-house-sg-1?bp_ref=%2Fsearch%2Fsg
Oven & Fried Chicken (Tanjong Katong),12,Katong,20,"Korean, Supper, Korean Fried Chicken",https://www.burpple.com/oven-fried-chicken-2?bp_ref=%2Fsearch%2Fsg
Baikohken Ramen Restaurant (Katong Square),3,Marine Parade,,"Ramen, Japanese",https://www.burpple.com/baikohken-ramenkatong-square?bp_ref=%2Fsearch%2Fsg
Katong Jago's Carrot Cake,13,Marine Parade,5,"Hawker Food, Cheap & Good",https://www.burpple.com/katong-jagos-carrot-cake?bp_ref=%2Fsearch%2Fsg
328 Katong Laksa (East Coast Road),183,Marine Parade,10,"Local Delights, Hawker Food, Cheap & Good",https://www.burpple.com/328-katong-laksa?bp_ref=%2Fsearch%2Fsg
Heng Long Teochew Porridge (Tanjong Katong),15,Katong,10,"Cheap & Good, Hawker Food",https://www.burpple.com/heng-long-teochew-porridge-at-tanjong-katong-rd?bp_ref=%2Fsearch%2Fsg
Ren Ren Desserts (Katong Shopping Centre),12,Marine Parade,5,"Local Delights, Desserts",https://www.burpple.com/ren-ren-desserts?bp_ref=%2Fsearch%2Fsg
Bing Bing Ice Cream Gallery (Tanjong Katong),43,Katong,5,"Ice Cream & Yoghurt, Desserts",https://www.burpple.com/ice-cream-gallery?bp_ref=%2Fsearch%2Fsg
Chef Icon Nature Bakery (I12 Katong),5,Marine Parade,10,"Vegetarian, Desserts, Cakes, Bread",https://www.burpple.com/chef-icon-nature-bakery-i12-katong?bp_ref=%2Fsearch%2Fsg
Chef Icon Nature Bakery (I12 Katong),5,Marine Parade,10,"Vegetarian, Desserts, Cakes, Bread",https://www.burpple.com/chef-icon-nature-bakery-i12-katong?bp_ref=%2Fsearch%2Fsg
The Original Katong Laksa - Janggut Laksa (Roxy Square),32,Marine Parade,5,"Local Delights, Cheap & Good, Hawker Food",https://www.burpple.com/the-original-katong-laksa?bp_ref=%2Fsearch%2Fsg
ENG'S Char Siew Wantan Mee (Tanjong Katong),22,Katong,5,Hawker Food,https://www.burpple.com/engs-char-siew-wantan-mee?bp_ref=%2Fsearch%2Fsg
Goldleaf Restaurant,131,Marine Parade,20,"Taiwanese, Buffets, Chinese",https://www.burpple.com/goldleaf-restaurant?bp_ref=%2Fsearch%2Fsg
Ninethirty By Awfully Chocolate (East Coast),167,Marine Parade,30,"Western, Desserts, Cafes & Coffee",https://www.burpple.com/nine-thirty-by-awfully-chocolate?bp_ref=%2Fsearch%2Fsg
Rabbit Carrot Gun,92,Marine Parade,25,"Western, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/rabbit-carrot-gun?bp_ref=%2Fsearch%2Fsg
Filipino Fiesta,3,Marine Parade,,,https://www.burpple.com/filipino-fiesta?bp_ref=%2Fsearch%2Fsg
D'bun (Joo Chiat),19,Joo Chiat,,"Dim Sum, Local Delights, Desserts",https://www.burpple.com/dbun?bp_ref=%2Fsearch%2Fsg
Boon Tong Kee (East Coast),18,Marine Parade,15,"Zi Char, Chicken Rice, Hawker Food",https://www.burpple.com/boon-tong-kee-8?bp_ref=%2Fsearch%2Fsg
Lower East Side,41,Marine Parade,35,"Mexican, Dinner with Drinks, Supper, Craft Beer, Late Night",https://www.burpple.com/lower-east-side-taqueria?bp_ref=%2Fsearch%2Fsg
Paws N Pans,6,Joo Chiat,15,"Western, Waffles, Cafes & Coffee",https://www.burpple.com/paws-n-pans?bp_ref=%2Fsearch%2Fsg
Dunman Road Char Siew Wan Ton Mee (Dunman Food Centre),13,Joo Chiat,5,Hawker Food,https://www.burpple.com/dunman-road-char-siew-wan-ton-mee-1?bp_ref=%2Fsearch%2Fsg
Mellvin Seafood Restaurant,20,Joo Chiat,20,"Seafood, Zi Char, Good For Groups, Chinese",https://www.burpple.com/mellvin-seafood-restaurant?bp_ref=%2Fsearch%2Fsg
Korea BBQ Buffet 99,6,Marine Parade,30,"Korean BBQ, Buffets, Korean, BBQ",https://www.burpple.com/korea-bbq-buffet-bbq-99?bp_ref=%2Fsearch%2Fsg
The Humble Scoop,17,Marine Parade,5,"Ice Cream & Yoghurt, Desserts, Waffles",https://www.burpple.com/the-humble-scoop?bp_ref=%2Fsearch%2Fsg
Soon Soon Huat Crispy Curry Puff,9,Marine Parade,5,"Local Delights, Hawker Food, Nasi Lemak",https://www.burpple.com/soon-soon-huat-cafe?bp_ref=%2Fsearch%2Fsg
Project Açaí (East Coast),18,Marine Parade,10,"Healthy, Desserts",https://www.burpple.com/project-acai-3?bp_ref=%2Fsearch%2Fsg
Tian Fu Hong Kong Steamboat Restaurant,14,Katong,25,"Steamboat, Rainy Day Comforts, Supper, Good For Groups",https://www.burpple.com/tian-fu-huo-guo-xiao-chu?bp_ref=%2Fsearch%2Fsg
Brunners Coffeeshop,19,Marine Parade,5,"Hawker Food, Cafes & Coffee",https://www.burpple.com/jago-close-coffee-shop?bp_ref=%2Fsearch%2Fsg
Old Bibik's Peranakan Kitchen & Gallery,18,Joo Chiat,15,"Peranakan, Good For Groups, Halal",https://www.burpple.com/old-bibiks-peranakan-kitchen-gallery?bp_ref=%2Fsearch%2Fsg
Katsuya Restaurant,19,Marine Parade,,Japanese,https://www.burpple.com/katsuya-restaurant?bp_ref=%2Fsearch%2Fsg
Say Seng Tau Kwa Pau (Dunman Food Centre),17,Joo Chiat,5,"Local Delights, Hawker Food",https://www.burpple.com/say-seng-tau-kwa-pau?bp_ref=%2Fsearch%2Fsg
Forty Hands (East Coast),30,Marine Parade,25,"Sandwiches, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/forty-hands-2?bp_ref=%2Fsearch%2Fsg
Trattoria L’Operetta,10,Katong,40,"Pizza, Pasta, Italian, Dinner with Drinks, Date Night",https://www.burpple.com/loperetta?bp_ref=%2Fsearch%2Fsg
Joo Chiat Ah Huat Wanton Mee (Dunman Food Centre),15,Joo Chiat,5,Hawker Food,https://www.burpple.com/joo-chiat-ah-huat-wanton-noodle?bp_ref=%2Fsearch%2Fsg
JB Garden Seafood Restaurant,13,Joo Chiat,15,"Zi Char, Seafood, Good For Groups, Hawker Food",https://www.burpple.com/jb-garden-seafood-restaurant?bp_ref=%2Fsearch%2Fsg
Dunman Food Centre,71,Joo Chiat,10,Hawker Food,https://www.burpple.com/dunman-road-food-centre?bp_ref=%2Fsearch%2Fsg
Doongji Korean Restaurant,8,Marine Parade,,Korean,https://www.burpple.com/dong-ji-korean?bp_ref=%2Fsearch%2Fsg
Nam San Mackerel Otah,2,Joo Chiat,,"Local Delights, Hawker Food",https://www.burpple.com/nam-san-mackerel-otah?bp_ref=%2Fsearch%2Fsg
Gina's Vadai (Dunman Food Centre),4,Joo Chiat,5,"Indian, Hawker Food",https://www.burpple.com/ginas-vadai?bp_ref=%2Fsearch%2Fsg
Joo Heng Restaurant,13,Joo Chiat,20,"Zi Char, Good For Groups, Chinese",https://www.burpple.com/joo-hing-restaurant?bp_ref=%2Fsearch%2Fsg
Seng's Wanton Noodles (Dunman Food Centre),4,Joo Chiat,5,Hawker Food,https://www.burpple.com/sengs-wanton-noodle?bp_ref=%2Fsearch%2Fsg
Dragon City Claypot Frog Porridge (Dunman Food Centre),4,Joo Chiat,10,"Rainy Day Comforts, Hawker Food, Supper",https://www.burpple.com/dragoncity-claypot-frog?bp_ref=%2Fsearch%2Fsg
Strands & Grains,4,Marine Parade,10,"Pasta, Western",https://www.burpple.com/strands-n-grains?bp_ref=%2Fsearch%2Fsg
Parkway Mini Steamboat,2,Katong,20,Steamboat,https://www.burpple.com/parkway-mini-steamboat-delight-roxy-tom-yum-steamboat?bp_ref=%2Fsearch%2Fsg
La Bonne Table,1,Marine Parade,30,"French, Italian, Dinner with Drinks",https://www.burpple.com/la-bonne-table?bp_ref=%2Fsearch%2Fsg
Tin Yeang Restaurant,14,Joo Chiat,10,Hawker Food,https://www.burpple.com/tin-yeang-restaurant?bp_ref=%2Fsearch%2Fsg
Little Ice Cream Kafe (LICK),46,Katong,10,"Ice Cream & Yoghurt, Waffles, Desserts",https://www.burpple.com/little-ice-cream-kafe-lick?bp_ref=%2Fsearch%2Fsg
Beriwell,27,Marine Parade,10,"Ice Cream & Yoghurt, Desserts, Healthy",https://www.burpple.com/beriwell?bp_ref=%2Fsearch%2Fsg
Matt's The Chocolate Shop,30,Joo Chiat,10,"Cakes, Desserts",https://www.burpple.com/matts-the-chocolate-shop?bp_ref=%2Fsearch%2Fsg
Samsim Vietnam Cafe,5,Joo Chiat,10,"Vietnamese, Cafes & Coffee",https://www.burpple.com/samsim-vietnam?bp_ref=%2Fsearch%2Fsg
Satay Solo (Dunman Food Centre),1,Joo Chiat,5,"Malay, Hawker Food, Halal",https://www.burpple.com/satay-solo-dunman?bp_ref=%2Fsearch%2Fsg
Rumah Bebe,1,Marine Parade,,Peranakan,https://www.burpple.com/rumah-bebe?bp_ref=%2Fsearch%2Fsg
Shideji 食得记,2,Katong,,"Rainy Day Comforts, Chinese",https://www.burpple.com/shideji?bp_ref=%2Fsearch%2Fsg
Banheng Teochew Porridge (Marine Parade),1,Marine Parade,10,Hawker Food,https://www.burpple.com/banhengteochew?bp_ref=%2Fsearch%2Fsg
HatYai Noodle Cafe,3,Marine Parade,10,"Thai, Halal",https://www.burpple.com/hatyai-noodle-cafe-thai-boat-noodle?bp_ref=%2Fsearch%2Fsg
Gobi Desserts (Joo Chiat),21,Joo Chiat,15,"Cakes, Desserts, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/gobi-desserts-2?bp_ref=%2Fsearch%2Fsg
Sweet Tarts Hong Kong Pastry,0,Marine Parade,,"Desserts, Halal",https://www.burpple.com/swet-tarts-hong-kong-pastry?bp_ref=%2Fsearch%2Fsg
Shideji 食得记,2,Katong,,"Rainy Day Comforts, Chinese",https://www.burpple.com/shideji?bp_ref=%2Fsearch%2Fsg
The Fish & Chip Shop,2,Marine Parade,,Western,https://www.burpple.com/the-fish-chip-shop?bp_ref=%2Fsearch%2Fsg
Baan By Rochor Thai,16,Marine Parade,10,"Thai, Hawker Food",https://www.burpple.com/baan-1?bp_ref=%2Fsearch%2Fsg
Sin Hoi Sai Eating House,22,Marine Parade,15,"Seafood, Zi Char, Good For Groups, Supper",https://www.burpple.com/sin-hoi-sai-eating-house?bp_ref=%2Fsearch%2Fsg
Sweet Tarts Hong Kong Pastry,0,Marine Parade,,"Desserts, Halal",https://www.burpple.com/swet-tarts-hong-kong-pastry?bp_ref=%2Fsearch%2Fsg
WAVE Cafe,6,Marine Parade,,"Cakes, Cafes & Coffee",https://www.burpple.com/wave-cafe-wine-bar?bp_ref=%2Fsearch%2Fsg
Roxy Square Food Court,21,Marine Parade,,Hawker Food,https://www.burpple.com/roxy-square-foodcourt?bp_ref=%2Fsearch%2Fsg
Kure Menya,3,Marine Parade,15,"Ramen, Japanese, Halal",https://www.burpple.com/kure-menya-ramen?bp_ref=%2Fsearch%2Fsg
Q-WA Bar And Yakitori (East Coast Road),3,Marine Parade,,"Bars, Japanese",https://www.burpple.com/qwa-bar-and-yakitori?bp_ref=%2Fsearch%2Fsg
Jai Siam (East Coast),11,Marine Parade,15,"Thai, Cheap & Good, Halal",https://www.burpple.com/jai-thai-1?bp_ref=%2Fsearch%2Fsg
Poh Poh Mookata,3,Katong,,"Thai, Steamboat, Mookata, Good For Groups",https://www.burpple.com/poh-poh-mookata-thai-charcoal-grill-and-steamboat-tanjong-katon?bp_ref=%2Fsearch%2Fsg
Al Falah Barakah Restaurant Pte Ltd (Joo Chiat),6,Joo Chiat,5,"Indian, Hawker Food, Supper",https://www.burpple.com/alfalah-barakah?bp_ref=%2Fsearch%2Fsg
Udipi Ganesh Vilas,1,Marine Parade,10,"Vegetarian, Indian",https://www.burpple.com/udipi-ganesh-vilas?bp_ref=%2Fsearch%2Fsg
Foodplace 25,1,Marine Parade,10,"Zi Char, Hawker Food",https://www.burpple.com/foodplace-25?bp_ref=%2Fsearch%2Fsg
Yong's Teochew Kueh (East Coast),12,Marine Parade,,"Local Delights, Hawker Food",https://www.burpple.com/yongs-teochew-kueh-1?bp_ref=%2Fsearch%2Fsg
Ghim Moh Hup Kee Seafood,1,Joo Chiat,,"Seafood, Zi Char",https://www.burpple.com/ghim-moh-hup-kee-seafood?bp_ref=%2Fsearch%2Fsg
Tawandang Microbrewery (East Coast),1,Katong,,"Thai, Bars, Dinner with Drinks",https://www.burpple.com/tawandang-microbrewery-2?bp_ref=%2Fsearch%2Fsg
Keng Bee Restaurant,3,Katong,10,Hawker Food,https://www.burpple.com/keng-be-restaurant?bp_ref=%2Fsearch%2Fsg
